t_s,acq_fps,count_fps,sdk_fps,label,backend
0.0,0.0,0.0,1052.63,cpp,DahengCppCamera
0.526,0.0,0.0,1052.63,cpp,DahengCppCamera
1.026,1053.45,1053.45,1052.63,cpp,DahengCppCamera
1.527,1053.45,1053.45,1052.63,cpp,DahengCppCamera
2.028,1054.33,1054.33,1052.63,cpp,DahengCppCamera
2.529,1054.33,1054.33,1052.63,cpp,DahengCppCamera
3.03,1053.88,1053.88,1052.63,cpp,DahengCppCamera
3.53,1053.88,1053.88,1052.63,cpp,DahengCppCamera
4.031,1054.15,1054.15,1052.63,cpp,DahengCppCamera
4.532,1054.15,1054.15,1052.63,cpp,DahengCppCamera
5.033,1053.54,1053.54,1052.63,cpp,DahengCppCamera
5.534,1053.54,1053.54,1052.63,cpp,DahengCppCamera
6.035,1053.39,1053.39,1052.63,cpp,DahengCppCamera
6.536,1053.39,1053.39,1052.63,cpp,DahengCppCamera
7.037,1053.72,1053.72,1052.63,cpp,DahengCppCamera
7.538,1053.72,1053.72,1052.63,cpp,DahengCppCamera
8.039,1053.54,1053.54,1052.63,cpp,DahengCppCamera
8.54,1053.54,1053.54,1052.63,cpp,DahengCppCamera
9.041,1053.57,1053.57,1052.63,cpp,DahengCppCamera
9.542,1053.57,1053.57,1052.63,cpp,DahengCppCamera
10.042,1054.56,1054.56,1052.63,cpp,DahengCppCamera
10.543,1054.56,1054.56,1052.63,cpp,DahengCppCamera
11.044,1053.2,1053.2,1052.63,cpp,DahengCppCamera
11.545,1053.2,1053.2,1052.63,cpp,DahengCppCamera
12.046,1053.88,1053.88,1052.63,cpp,DahengCppCamera
12.547,1053.88,1053.88,1052.63,cpp,DahengCppCamera
13.048,1054.17,1054.17,1052.63,cpp,DahengCppCamera
13.549,1054.17,1054.17,1052.63,cpp,DahengCppCamera
14.049,1053.79,1053.79,1052.63,cpp,DahengCppCamera
14.55,1053.79,1053.79,1052.63,cpp,DahengCppCamera
15.051,1053.94,1053.94,1052.63,cpp,DahengCppCamera
15.552,1053.94,1053.94,1052.63,cpp,DahengCppCamera
16.053,1053.76,1053.76,1052.63,cpp,DahengCppCamera
16.554,1053.76,1053.76,1052.63,cpp,DahengCppCamera
17.055,1054.24,1054.24,1052.63,cpp,DahengCppCamera
17.555,1054.24,1054.24,1052.63,cpp,DahengCppCamera
18.056,1053.95,1053.95,1052.63,cpp,DahengCppCamera
18.557,1053.95,1053.95,1052.63,cpp,DahengCppCamera
19.058,1053.41,1053.41,1052.63,cpp,DahengCppCamera
19.559,1053.41,1053.41,1052.63,cpp,DahengCppCamera
