t_s,count_fps_cpp,count_fps_python,sdk_fps
2.028,1054.33,843.23,1052.63
2.529,1054.33,843.09,1052.63
3.03,1053.88,841.82,1052.63
3.53,1053.88,841.9,1052.63
4.031,1054.15,842.14,1052.63
4.532,1054.15,840.17,1052.63
5.033,1053.54,838.35,1052.63
5.534,1053.54,839.95,1052.63
6.035,1053.39,842.07,1052.63
6.536,1053.39,841.99,1052.63
7.037,1053.72,841.7,1052.63
7.538,1053.72,840.06,1052.63
8.039,1053.54,839.99,1052.63
8.54,1053.54,842.08,1052.63
9.041,1053.57,842.01,1052.63
9.542,1053.57,839.67,1052.63
10.042,1054.56,838.25,1052.63
10.543,1054.56,840.23,1052.63
11.044,1053.2,841.51,1052.63
11.545,1053.2,839.46,1052.63
12.046,1053.88,838.24,1052.63
12.547,1053.88,840.22,1052.63
13.048,1054.17,838.5,1052.63
13.549,1054.17,838.51,1052.63
14.049,1053.79,842.11,1052.63
14.55,1053.79,842.43,1052.63
15.051,1053.94,842.3,1052.63
15.552,1053.94,839.91,1052.63
16.053,1053.76,840.08,1052.63
16.554,1053.76,842.04,1052.63
17.055,1054.24,842.2,1052.63
17.555,1054.24,841.88,1052.63
18.056,1053.95,839.73,1052.63
18.557,1053.95,840.45,1052.63
19.058,1053.41,842.29,1052.63
19.559,1053.41,841.94,1052.63
