t_s,acq_fps,count_fps,sdk_fps,label,backend
0.0,0.0,0.0,1052.63,python,DahengCamera
0.519,1053.59,421.83,1052.63,python,DahengCamera
1.021,2101.15,842.44,1052.63,python,DahengCamera
1.524,2094.17,842.03,1052.63,python,DahengCamera
2.026,2094.22,843.23,1052.63,python,DahengCamera
2.529,2093.86,843.09,1052.63,python,DahengCamera
3.032,2093.65,841.82,1052.63,python,DahengCamera
3.535,2093.85,841.9,1052.63,python,DahengCamera
4.037,2094.44,842.14,1052.63,python,DahengCamera
4.54,2094.47,840.17,1052.63,python,DahengCamera
5.042,2094.88,838.35,1052.63,python,DahengCamera
5.545,2095.92,839.95,1052.63,python,DahengCamera
6.048,2096.27,842.07,1052.63,python,DahengCamera
6.55,2094.09,841.99,1052.63,python,DahengCamera
7.053,2093.35,841.7,1052.63,python,DahengCamera
7.556,2094.2,840.06,1052.63,python,DahengCamera
8.058,2096.02,839.99,1052.63,python,DahengCamera
8.561,2096.29,842.08,1052.63,python,DahengCamera
9.063,2094.13,842.01,1052.63,python,DahengCamera
9.566,2093.23,839.67,1052.63,python,DahengCamera
10.069,2094.63,838.25,1052.63,python,DahengCamera
10.571,2096.6,840.23,1052.63,python,DahengCamera
11.074,2094.87,841.51,1052.63,python,DahengCamera
11.577,2092.7,839.46,1052.63,python,DahengCamera
12.08,2094.6,838.24,1052.63,python,DahengCamera
12.582,2096.58,840.22,1052.63,python,DahengCamera
13.085,1466.87,838.5,1052.63,python,DahengCamera
13.587,2095.28,838.51,1052.63,python,DahengCamera
14.09,2098.34,842.11,1052.63,python,DahengCamera
14.592,2095.17,842.43,1052.63,python,DahengCamera
15.095,2094.84,842.3,1052.63,python,DahengCamera
15.598,2093.83,839.91,1052.63,python,DahengCamera
16.1,2096.24,840.08,1052.63,python,DahengCamera
16.603,2096.2,842.04,1052.63,python,DahengCamera
17.105,2094.59,842.2,1052.63,python,DahengCamera
17.608,2093.82,841.88,1052.63,python,DahengCamera
18.111,2093.37,839.73,1052.63,python,DahengCamera
18.613,2094.21,840.45,1052.63,python,DahengCamera
19.117,2093.86,842.29,1052.63,python,DahengCamera
19.62,2093.96,841.94,1052.63,python,DahengCamera
