width,height,pixels,offset_x,offset_y,exposure_us,acq_fps,sdk_fps,frames,incomplete,ok,error
1440,1080,1555200,0,0,20.0,222.09,227.07,1817,0,1,
1280,720,921600,80,180,20.0,327.08,334.34,2675,0,1,
800,600,480000,320,240,20.0,388.21,396.82,3175,0,1,
640,480,307200,400,300,20.0,477.37,488.04,3905,0,1,
400,300,120000,520,390,20.0,728.76,744.6,5960,0,1,
320,240,76800,560,420,20.0,883.73,903.34,7228,0,1,
300,100,30000,,,20.0,,,,,0,"{The difference between Value = 300 and Min = 16 must be dividable without rest by Inc = 8. : OutOfRangeException thrown in node 'Width' while calling 'Width.SetValue()' (file 'IntegerT.h', line 79)}
"
200,200,40000,620,440,20.0,1029.95,1052.63,8423,0,1,
160,120,19200,640,480,20.0,1538.5,1572.33,12583,0,1,
100,80,8000,,,20.0,,,,,0,"Width Inc=8 (100-16 not divisible by 8)"
296,100,29600,, ,20.0,1794.35,1792.11,14354,0,1,snapped from 300x100
304,100,30400,, ,20.0,1795.04,1792.11,14354,0,1,snapped from 300x100
96,80,7680,, ,20.0,2087.92,2087.68,16706,0,1,snapped from 100x80
104,80,8320,, ,20.0,2087.88,2087.68,16707,0,1,snapped from 100x80
